O_id,D_id,distance
b0,c1,9.211065521755312
b0,c2,9.217767939248558
b0,c3,8.792062170083769
b0,c4,8.779321100139255
b0,c5,8.710147993108013
b0,c6,3.1684799874760006
b0,a7,8.570809473421669
b0,c8,6.7812418512702015
b0,c9,4.1001538456201825
b0,c10,3.671661345076014
b0,c11,7.716337901650811
b0,c12,8.640323735374851
b0,c13,7.147137525646842
b0,c14,7.936024369335561
b0,c15,8.05201112061782
b0,c16,8.013621298815222
b0,c17,8.541995355292935
b0,c18,7.768856307271925
b0,b19,0.008068196932267912
b0,b20,0.0
b0,c21,2.9777677176027355
b0,c22,3.2245905214611295
b0,b23,8.066950528979628
b0,b24,7.9598795247564
b0,b25,7.1576958212513535
b0,b26,7.826472604501017
b0,b27,7.013524294860483
b0,a28,8.500530847085669
b0,a29,9.298853797139383
b0,a30,8.613665472451144
b0,b31,4.750074537975333
b0,b32,1.3426341501737844
b0,b33,0.4767051317039378
b0,c34,4.464294331345312
b0,c35,3.170913403807078
b0,c36,3.7776514107533594
b0,c37,4.971965176202424
b0,c38,5.828201414822714
b0,c39,6.819019321577082
b0,c40,7.441924055877883
b0,c41,7.321938168441119
b0,c42,6.780476209171571
b0,c43,6.66134581969362
b0,c44,6.191325887375378
b0,b45,6.097119239223797
b0,b46,6.824605486725021
b0,c47,6.977434118695673
b0,a48,2.1630393187575447
b0,b49,0.8091182431901468
b0,b50,1.0653280691244105
b0,b51,0.7380804217093421
b0,b52,0.0
b0,a53,1.7382456587658086
b0,a54,2.1531586262458546
b0,c55,3.796567909379543
b0,c56,1.6858188404328374
b0,b57,8.122084255029916
b0,b58,7.207707297321818
b0,b59,8.004442923083921
b0,a60,7.986796821261143
b0,a61,8.240849350318062
b0,a62,8.340120472728778
b0,a63,8.335532405197945
b0,b64,5.527561843104243
b0,b65,6.32886090192749
b0,b66,4.5755257594497305
b0,b67,1.8043603696082924
b0,c68,1.4830609664686802
b0,b69,1.3296435636026342
b0,b70,0.42127753987115013
b0,c71,0.19742656245318946
b0,c72,1.5613859043006524
b0,c73,2.6309854685301883
b0,c74,2.841441003291652
b0,c75,4.850835429944528
b0,c76,5.408359501881433
b0,c77,6.418806628087899
b0,c78,6.011945208528534
b0,c79,6.000999255091158
b0,c80,5.607193388421295
b0,c81,5.495429224980885
b0,c82,4.792444601544219
b0,c83,5.722754911911619
b0,c84,4.579325758928376
b0,c85,5.138432710909585
b0,a86,1.1118184741442019
b0,a87,0.1722469107441961
b0,a88,1.444302955292199
b0,c89,2.5021088661331583
b0,c90,1.1233485264920093
b0,a91,7.371442160226568
b0,c92,2.8913360747409858
b0,c93,3.935759122030255
b0,a94,1.3530380390804269
