O_id,D_id,flow
b0,c1,33
b0,c2,33
b0,c3,43
b0,c4,43
b0,c5,45
b0,c6,1205
b0,a7,38
b0,c8,150
b0,c9,773
b0,c10,968
b0,c11,83
b0,c12,47
b0,c13,112
b0,c14,39
b0,c15,68
b0,c16,69
b0,c17,50
b0,c18,80
b0,b19,0
b0,b20,0
b0,c21,1295
b0,c22,1181
b0,b23,21
b0,b24,44
b0,b25,44
b0,b26,32
b0,b27,53
b0,a28,40
b0,a29,25
b0,a30,37
b0,b31,240
b0,b32,486
b0,b33,5
b0,c34,629
b0,c35,1208
b0,c36,916
b0,c37,465
b0,c38,273
b0,c39,146
b0,c40,99
b0,c41,107
b0,c42,149
b0,c43,162
b0,c44,106
b0,b45,101
b0,b46,47
b0,c47,46
b0,a48,1125
b0,b49,49
b0,b50,154
b0,b51,45
b0,b52,0
b0,a53,955
b0,a54,1122
b0,c55,884
b0,c56,1013
b0,b57,23
b0,b58,70
b0,b59,40
b0,a60,52
b0,a61,47
b0,a62,43
b0,a63,32
b0,b64,210
b0,b65,92
b0,b66,185
b0,b67,734
b0,c68,357
b0,b69,333
b0,b70,1
b0,c71,0
b0,c72,557
b0,c73,1299
b0,c74,894
b0,c75,501
b0,c76,356
b0,c77,188
b0,c78,244
b0,c79,245
b0,c80,218
b0,c81,185
b0,c82,368
b0,c83,292
b0,c84,587
b0,c85,414
b0,a86,370
b0,a87,0
b0,a88,709
b0,c89,1442
b0,c90,434
b0,a91,81
b0,c92,469
b0,c93,644
b0,a94,262
b0,c95,461
b0,c96,226
b0,c97,511
b0,c98,464
b0,c99,230
b0,c100,190
b0,c101,164
b0,c102,330
b0,c103,298
b0,c104,228
b0,c105,1034
b0,c106,1234
b0,c107,702
b0,c108,1036
b0,c109,1438
b0,c110,1448
b0,a111,102
b0,a112,63
b0,a113,80
b0,a114,56
b0,a115,43
b0,a116,102
b0,b117,633
b0,b118,490
b0,b119,193
b0,b120,305
b0,b121,558
b0,b122,645
b0,a123,841
b0,a124,795
b0,a125,1128
b0,a126,548
b0,a127,1122
b0,a128,7
b0,b129,550
b0,b130,410
b0,a131,811
b0,a132,606
b0,a133,665
b0,c134,70
b0,c135,624
b0,c136,260
b0,c137,454
b0,c138,0
b0,c139,0
b0,a140,208
b0,a141,426
b0,a142,129
b0,a143,216
b0,a144,139
b0,a145,106
b0,a146,163
b0,a147,195
b0,a148,148
b0,a149,785
b0,a150,761
b0,a151,395
b0,a152,350
b0,a153,1130
b0,a154,1091
b0,a155,1061
b0,a156,1020
b0,a157,474
b0,a158,240
b0,a159,209
b0,a160,365
b0,a161,206
b0,a162,527
b0,a163,376
b0,a164,827
b0,a165,1022
b0,a166,642
b0,a167,633
b0,a168,637
b0,a169,446
b0,a170,454
b0,a171,836
b0,a172,1001
b0,a173,889
b0,a174,746
b0,a175,590
b0,a176,474
b0,a177,646
b0,a178,781
b0,a179,532
b0,a180,599
b0,a181,906
b0,a182,720
b0,a183,819
b0,a184,962
b0,a185,1067
b0,a186,917
b0,a187,1078
b0,b188,0
b0,c189,100
b0,c190,1192
b0,c191,46
b0,c192,27
b0,b193,14
b0,a194,31
b0,a195,24
c1,c2,0
c1,c3,0
c1,c4,590
c1,c5,53
c1,c6,127
c1,a7,1
c1,c8,2647
c1,c9,912
c1,c10,525
c1,c11,31
c1,c12,0
c1,c13,2627
c1,c14,990
c1,c15,584
c1,c16,44
c1,c17,249
c1,c18,1553
c1,b19,28
c1,b20,33
c1,c21,293
c1,c22,178
c1,b23,104
c1,b24,428
c1,b25,220
c1,b26,386
c1,b27,85
c1,a28,1
c1,a29,1
c1,a30,1
c1,b31,209
c1,b32,54
c1,b33,29
c1,c34,1670
c1,c35,1092
c1,c36,1470
c1,c37,2346
c1,c38,2969
c1,c39,2314
c1,c40,1211
c1,c41,1593
c1,c42,2682
c1,c43,2013
c1,c44,686
c1,b45,276
c1,b46,85
c1,c47,228
c1,a48,1
c1,b49,1
c1,b50,6
c1,b51,14
c1,b52,10
c1,a53,1
c1,a54,0
c1,c55,1503
c1,c56,316
c1,b57,25
c1,b58,349
c1,b59,284
c1,a60,21
c1,a61,6
c1,a62,9
c1,a63,10
c1,b64,335
c1,b65,158
c1,b66,8
c1,b67,44
c1,c68,39
c1,b69,53
c1,b70,7
c1,c71,25
c1,c72,114
