O_id,D_id,distance
a0,a1,5.70931623443187
a0,a2,4.402910542691643
a0,a3,7.506571870355731
a0,a4,6.3019514195793365
a0,a5,8.332933675414246
a0,a6,4.366417622193939
a0,a7,0.0
a0,a8,7.101195766227606
a0,a9,6.323698381659897
a0,a10,8.207003611267877
a0,a11,7.6885510009340585
a0,a12,7.915344386139799
a0,a13,8.441904936897181
a0,a14,7.395257448982586
a0,a15,7.37210956692981
a0,a16,5.114548240228975
a0,a17,7.593696424726678
a0,a18,7.800691749859556
a0,a19,6.6185170641178015
a0,a20,3.5097750684132962
a0,a21,3.1760215435006973
a0,a22,4.050087808381949
a0,a23,3.25767910655872
a0,a24,8.831838118599308
a0,a25,8.149269489790761
a0,a26,8.839580748685043
a0,a27,7.667762590782943
a0,a28,7.390795991144165
a0,a29,6.230723064819453
a0,a30,7.810090572441902
a0,a31,7.312940341374899
a0,a32,7.864293028983294
a0,a33,8.016653914456693
a0,a34,3.8404807777789847
a0,a35,3.5184756090474347
a0,a36,2.705598571732059
a0,a37,0.6323912410682883
a0,a38,0.0
a0,a39,0.19372071135192662
a0,a40,7.217301230846989
a0,a41,7.367905809438745
a0,a42,8.026872283324725
a0,a43,8.161186750136563
a0,a44,6.749921558749965
a0,a45,7.076198478396281
a0,a46,7.884438488968604
a0,a47,4.671454429517423
a0,a48,3.8042364314943478
a0,a49,2.9939709650061563
a0,a50,3.7033575468705453
a0,a51,4.289450428285592
a0,a52,5.353751169046024
a0,a53,4.791813785477561
a0,a54,5.1068824983781775
a0,a55,5.331864194559524
a0,a56,3.022945568265589
a0,a57,3.8426229466030026
a0,a58,2.4140913235216845
a0,a59,0.7936970857397643
a0,a60,1.0637748208534457
a0,a61,1.7107187223622353
a0,a62,0.0
a0,a63,8.883379569284497
a0,a64,8.845000021221326
a0,a65,9.586190340554289
a0,a66,8.575706130969378
a0,a67,9.408063796716862
a0,a68,8.52732148876533
a0,a69,5.918353099072922
a0,a70,6.828043400622945
a0,a71,5.716419861529323
a0,a72,5.736126288455016
a0,a73,6.86228247618001
a0,a74,6.860723900455213
a0,a75,5.696741899133718
a0,a76,6.373842593936242
a0,a77,6.86166679618123
a0,a78,5.9400929523496515
a0,a79,5.948525100341036
a0,a80,6.96599882423608
a0,a81,6.848620174734595
a0,a82,6.19715166552496
a0,a83,6.503190881227167
a0,a84,4.991140411522382
a0,a85,4.714489633829221
a0,a86,4.553914901217
a0,a87,5.9181968777415825
a0,a88,5.521243418860617
a0,a89,4.8800432076480655
a0,a90,6.3086371965164965
a0,a91,1.5812758355203462
a0,a92,2.70690425981093
a0,a93,3.1272644996255994
a0,a94,2.206966059490581
a0,a95,1.1782138818561005
a0,a96,2.206420119440295
a0,a97,0.9720905379842522
a0,a98,0.4062258925053346
a0,a99,6.358828664199787
a0,a100,6.6827871507558285
a0,a101,5.609213074972068
a0,a102,5.224619134785894
a0,a103,5.074457605430692
a0,a104,6.152610723999974
a0,a105,5.780030353377602
a0,a106,5.557820736884455
a0,a107,6.354459730072837
a0,a108,6.435930350408513
a0,a109,6.1178013979810295
a0,a110,3.247270893641311
a0,a111,1.9313066802836873
a0,a112,4.559030477371729
a0,a113,9.82495537676109
a0,a114,9.413077726588588
a0,a115,8.302853031091606
a0,a116,8.592759950959731
a0,a117,8.469625185426858
a0,a118,8.209013950954992
a0,a119,7.84576796527185
a0,a120,8.61340730272565
a0,a121,7.800897177367374
a0,a122,7.681409250646793
