O_id,D_id,flow
a0,a1,59
a0,a2,148
a0,a3,55
a0,a4,25
a0,a5,5
a0,a6,397
a0,a7,0
a0,a8,14
a0,a9,29
a0,a10,6
a0,a11,9
a0,a12,6
a0,a13,5
a0,a14,24
a0,a15,23
a0,a16,87
a0,a17,7
a0,a18,5
a0,a19,20
a0,a20,347
a0,a21,424
a0,a22,220
a0,a23,431
a0,a24,3
a0,a25,4
a0,a26,3
a0,a27,8
a0,a28,9
a0,a29,31
a0,a30,29
a0,a31,47
a0,a32,27
a0,a33,34
a0,a34,736
a0,a35,1193
a0,a36,1920
a0,a37,80
a0,a38,0
a0,a39,0
a0,a40,22
a0,a41,9
a0,a42,8
a0,a43,12
a0,a44,34
a0,a45,41
a0,a46,20
a0,a47,187
a0,a48,651
a0,a49,1351
a0,a50,256
a0,a51,145
a0,a52,108
a0,a53,292
a0,a54,119
a0,a55,132
a0,a56,2009
a0,a57,1064
a0,a58,757
a0,a59,159
a0,a60,417
a0,a61,913
a0,a62,0
a0,a63,2
a0,a64,3
a0,a65,2
a0,a66,4
a0,a67,3
a0,a68,4
a0,a69,55
a0,a70,31
a0,a71,59
a0,a72,59
a0,a73,31
a0,a74,30
a0,a75,59
a0,a76,31
a0,a77,14
a0,a78,46
a0,a79,52
a0,a80,14
a0,a81,16
a0,a82,34
a0,a83,20
a0,a84,363
a0,a85,376
a0,a86,610
a0,a87,100
a0,a88,186
a0,a89,207
a0,a90,34
a0,a91,1858
a0,a92,2329
a0,a93,2059
a0,a94,2486
a0,a95,931
a0,a96,2401
a0,a97,535
a0,a98,5
a0,a99,170
a0,a100,99
a0,a101,319
a0,a102,481
a0,a103,573
a0,a104,112
a0,a105,210
a0,a106,216
a0,a107,93
a0,a108,59
a0,a109,81
a0,a110,770
a0,a111,1918
a0,a112,638
a0,a113,2
a0,a114,3
a0,a115,3
a0,a116,3
a0,a117,4
a0,a118,4
a0,a119,7
a0,a120,3
a0,a121,5
a0,a122,8
a0,a123,21
a0,a124,20
a0,a125,91
a0,a126,40
a0,a127,52
a0,a128,32
a0,a129,23
a0,a130,28
a0,a131,76
a0,a132,42
a0,a133,82
a0,a134,18
a0,a135,18
a0,a136,39
a0,a137,19
a0,a138,10
a0,a139,550
a0,a140,122
a0,a141,89
a0,a142,62
a0,a143,104
a0,a144,197
a0,a145,193
a0,a146,272
a0,a147,151
a0,a148,6
a0,a149,19
a0,a150,833
a0,a151,1045
a0,a152,1225
a0,a153,1175
a0,a154,688
a0,a155,510
a0,a156,4
a0,a157,5
a0,a158,7
a0,a159,3
a0,a160,2
a0,a161,3
a0,a162,3
a0,a163,4
a0,a164,2
a0,a165,2
a0,a166,3
a0,a167,2
a0,a168,1
a0,a169,1104
a0,a170,466
a0,a171,768
a0,a172,274
a0,a173,311
a0,a174,985
a0,a175,1137
a0,a176,1388
a0,a177,776
a0,a178,509
a0,a179,828
a0,a180,841
a0,a181,490
a0,a182,26
a0,a183,74
a0,a184,136
a0,a185,0
a0,a186,62
a0,a187,2
a0,a188,2
a0,a189,1
a0,a190,2
a0,a191,21
a1,a2,379
a1,a3,173
a1,a4,754
a1,a5,612
a1,a6,212
a1,a7,41
a1,a8,54
a1,a9,0
a1,a10,816
a1,a11,261
a1,a12,499
a1,a13,900
a1,a14,137
a1,a15,168
a1,a16,423
a1,a17,203
a1,a18,525
a1,a19,0
a1,a20,255
a1,a21,292
a1,a22,297
a1,a23,246
a1,a24,686
a1,a25,811
a1,a26,579
a1,a27,497
a1,a28,436
a1,a29,0
a1,a30,281
a1,a31,272
a1,a32,287
a1,a33,147
a1,a34,535
a1,a35,447
a1,a36,319
a1,a37,37
a1,a38,62
a1,a39,37
a1,a40,615
a1,a41,861
a1,a42,586
a1,a43,395
a1,a44,737
a1,a45,482
a1,a46,352
a1,a47,0
a1,a48,214
a1,a49,469
a1,a50,474
a1,a51,538
a1,a52,157
a1,a53,229
a1,a54,0
a1,a55,346
a1,a56,202
a1,a57,423
a1,a58,285
a1,a59,107
a1,a60,155
a1,a61,179
a1,a62,88
a1,a63,1300
a1,a64,1129
a1,a65,1030
a1,a66,986
a1,a67,956
a1,a68,939
a1,a69,263
a1,a70,271
a1,a71,404
a1,a72,389
a1,a73,193
a1,a74,303
a1,a75,458
a1,a76,10
a1,a77,2
a1,a78,0
a1,a79,0
a1,a80,692
a1,a81,173
a1,a82,38
a1,a83,746
a1,a84,546
a1,a85,644
a1,a86,506
a1,a87,766
a1,a88,680
a1,a89,630
a1,a90,778
a1,a91,73
a1,a92,127
a1,a93,76
a1,a94,45
a1,a95,142
a1,a96,166
a1,a97,84
a1,a98,95
a1,a99,165
a1,a100,249
a1,a101,203
a1,a102,145
a1,a103,111
a1,a104,566
a1,a105,362
a1,a106,541
a1,a107,476
a1,a108,714
a1,a109,764
a1,a110,171
a1,a111,309
a1,a112,404
a1,a113,646
a1,a114,885
a1,a115,1038
a1,a116,1276
a1,a117,1019
a1,a118,1219
a1,a119,1151
a1,a120,1275
a1,a121,837
a1,a122,743
a1,a123,600
a1,a124,726
a1,a125,619
a1,a126,666
a1,a127,567
a1,a128,481
a1,a129,561
a1,a130,744
a1,a131,644
a1,a132,666
a1,a133,623
a1,a134,900
a1,a135,271
a1,a136,578
a1,a137,906
a1,a138,1065
a1,a139,273
a1,a140,71
a1,a141,258
a1,a142,45
a1,a143,0
a1,a144,0
a1,a145,466
a1,a146,158
a1,a147,644
a1,a148,228
a1,a149,201
a1,a150,226
a1,a151,179
a1,a152,215
a1,a153,108
a1,a154,267
a1,a155,276
a1,a156,847
a1,a157,841
a1,a158,771
a1,a159,818
a1,a160,715
a1,a161,882
a1,a162,829
a1,a163,827
a1,a164,1184
a1,a165,1262
a1,a166,1223
a1,a167,1203
a1,a168,1086
a1,a169,538
a1,a170,591
a1,a171,585
a1,a172,586
a1,a173,647
a1,a174,427
a1,a175,327
a1,a176,432
a1,a177,593
a1,a178,602
a1,a179,257
a1,a180,333
a1,a181,442
a1,a182,127
a1,a183,224
a1,a184,98
a1,a185,33
a1,a186,149
a1,a187,632
a1,a188,667
a1,a189,890
a1,a190,1190
a1,a191,285
a2,a3,4
a2,a4,10
a2,a5,2
a2,a6,278
a2,a7,93
