O_id,D_id,distance
a0,a1,0.0
a0,a2,4.678322459297615
a0,a3,8.50698282745647
a0,a4,8.410933646499716
a0,a5,8.551308559903264
a0,a6,8.946127362003876
a0,a7,7.819057739250685
a0,a8,2.83123168944182
a0,a9,2.5307247196118148
a0,a10,8.671459868858777
a0,a11,8.674048502633946
a0,a12,8.00138703200317
a0,a13,7.74111122404266
a0,a14,7.96734468736324
a0,a15,8.356544427829256
a0,a16,7.3164228975048875
a0,a17,6.848841876711184
a0,a18,7.013461480001234
a0,a19,8.019745318091763
a0,a20,8.689531453328732
a0,a21,9.044844544219398
a0,a22,8.624678026736202
a0,a23,8.996511354906659
a0,a24,7.909222475656144
a0,a25,9.266019738002726
a0,a26,9.875111328313482
a0,a27,6.986796360308105
a0,a28,6.749367084854018
a0,a29,7.2205326500414815
a0,a30,7.17910804608489
a0,a31,4.187937652561745
a0,a32,6.931761591634919
a0,a33,7.821465268766662
a0,a34,7.8284096903658495
a0,a35,7.736000598798216
a0,a36,7.192945603228663
a0,a37,3.066635449338346
a0,a38,3.5692882321643236
a0,a39,3.2780531848942966
a0,a40,2.892523386602689
a0,a41,2.5634249812450567
a0,a42,2.293579021747074
a0,a43,0.0
a0,a44,2.830575793203771
a0,a45,0.25746382271066026
a0,a46,3.8255968001385554
a0,a47,9.362329585325691
a0,a48,10.323041562233257
a0,a49,3.1318245451857414
a0,a50,5.358557338956896
a0,a51,4.730204076984899
a0,a52,6.4801970586972315
a0,a53,5.118184355945117
a0,a54,5.009030833241104
a0,a55,5.756797182599911
a0,a56,6.1871920417811355
a0,a57,6.494156486141066
a0,a58,5.323001804015628
a0,a59,6.28820939285299
a0,a60,5.818215000083073
a0,a61,5.549222058288494
a0,a62,2.1968410417131015
a0,a63,1.5296687530669018
a0,a64,2.1579749160545143
a0,a65,2.3969142495839333
a0,a66,1.827617558755225
a0,a67,1.2748026922489726
a0,a68,1.7122073930583679
a0,a69,1.1916768435373677
a0,a70,2.362638909738864
a0,a71,0.7210484830071084
a0,a72,2.038454497743918
a0,a73,1.029373070496589
a0,a74,1.229504757907446
a0,a75,0.46760619043809953
a0,a76,0.7124194525467755
a0,a77,1.3796616964444326
a0,a78,0.8686927076041985
a0,a79,1.3163807421961002
a0,a80,1.527382990793638
a0,a81,1.3981819040514596
a0,a82,2.5498173365025627
a0,a83,3.340791618076689
a0,a84,2.425211815602879
a0,a85,1.7219290273263446
a0,a86,2.415663554794321
a0,a87,3.328204124366475
a0,a88,3.201600948146432
a0,a89,5.805179073036562
a0,a90,9.001659225994596
a0,a91,8.275857687225797
a0,a92,5.136685309961478
a0,a93,4.69915333062897
a0,a94,5.5371626274613535
a0,a95,5.668340473553781
a0,a96,5.838447168540433
a0,a97,6.056215525765545
a0,a98,6.656856524917119
a0,a99,4.824518804255706
a0,a100,5.512620695028068
a0,a101,4.463394215102905
a0,a102,1.7334617023107601
a0,a103,1.6843186952688565
a0,a104,3.021196812142823
a0,a105,2.229848388583462
a0,a106,2.213624962212605
a0,a107,3.6864587028619042
a0,a108,3.288157156372436
a0,a109,3.09788849881261
a0,a110,3.4125950422039484
a0,a111,4.00137221249209
a0,a112,3.988501862422413
a0,a113,3.732151677824509
a0,a114,4.803673067121441
a0,a115,4.840888037560568
a0,a116,4.757750433886498
a0,a117,3.2030518384988156
a0,a118,3.5474811149726233
a0,a119,3.0929211716219767
a0,a120,2.6245962704949664
a0,a121,3.4871189605051165
a0,a122,3.3524101940765365
a0,a123,2.9871872751370607
a0,a124,3.899101400705798
a0,a125,3.5376492630248277
a0,a126,5.1857778302136435
a0,a127,4.768671867211991
a0,a128,8.173968070049979
a0,a129,8.565014771892445
a0,a130,8.47972363710315
a0,a131,6.051894937479405
a0,a132,6.110078566733626
a0,a133,5.730093839741439
a0,a134,6.4793132755312675
a0,a135,5.657764372399165
a0,a136,6.284416793317716
a0,a137,2.9163823256462558
a0,a138,4.014284873673101
a0,a139,3.6096437537429273
a0,a140,3.602936689373027
a0,a141,2.8454108929051634
a0,a142,1.9928749567587891
a0,a143,2.7951267924551066
a0,a144,2.1591969945114164
a0,a145,2.761017439180649
a0,a146,4.013058765646625
a0,a147,5.895939869658083
a0,a148,6.570551085589604
a0,a149,5.81568700842712
a0,a150,5.896487940622249
a0,a151,4.924887044859297
a0,a152,5.221538323773284
a0,a153,8.437436438091117
a0,a154,7.145984686503514
a0,a155,7.718042186032118
a0,a156,7.475838416071491
a0,a157,6.75778812655857
a0,a158,6.6045597578124875
a0,a159,7.0232181653559715
a0,a160,2.9596021166272917
a0,a161,4.431893635651923
a0,a162,4.941836818903775
a0,a163,4.610615201667286
a0,a164,4.893380715293895
a0,a165,6.953751587977016
a0,a166,7.470149319178053
a0,a167,7.292890326233609
a0,a168,7.523401978117518
a0,a169,6.759087204548203
a0,a170,7.765278485087627
a0,a171,4.363221456527151
a0,a172,3.685272163639409
a0,a173,5.5263163180599975
a0,a174,4.7098065273308425
a0,a175,3.8127652694548697
a0,a176,5.950602050184872
a0,a177,5.949365013179773
a0,a178,6.596484273985473
a0,a179,5.395856173942087
a0,a180,5.780896993409934
a0,a181,5.128105915987023
a0,a182,2.265459660951324
a0,a183,0.0
a0,a184,0.0
a0,a185,3.170586359243845
a0,a186,4.115349309533823
a0,a187,4.963648242721574
a0,a188,7.002242672786387
a0,a189,8.957989990172813
a0,a190,10.77062112507145
a0,a191,9.362356374625149
a0,a192,8.603391052395795
a0,a193,6.312350310780415
a0,a194,3.4583136413975457
a1,a2,4.717004925291449
a1,a3,8.078228716315856
a1,a4,7.961228094395587
a1,a5,8.118046323183611
a1,a6,8.561937294943236
a1,a7,7.4300328333540975
a1,a8,2.699141910207025
a1,a9,2.448605380370577
a1,a10,8.088591153581003
a1,a11,8.107367289974748
a1,a12,7.38643747913177
a1,a13,7.171537398981711
a1,a14,7.371100316317203
a1,a15,7.769850670536269
a1,a16,6.7632239853153076
a1,a17,6.257173655939806
a1,a18,6.412632711403617
a1,a19,7.509349356359713
a1,a20,8.37192276186678
a1,a21,8.680254976548529
a1,a22,8.249227447859235
a1,a23,8.68076734056522
a1,a24,7.530001643509879
a1,a25,9.028854208904752
a1,a26,9.634990542396725
a1,a27,6.64426238605972
a1,a28,6.40643749510654
a1,a29,6.875651472882529
a1,a30,6.876735220129021
a1,a31,3.5743072166690957
a1,a32,6.518473863261354
a1,a33,7.324043806436676
a1,a34,7.354713831980041
a1,a35,7.274838345665094
a1,a36,6.7843758614983845
a1,a37,3.1100267580992287
a1,a38,3.489504456642312
a1,a39,3.4136582132933975
a1,a40,2.8855477643399587
a1,a41,2.3616492928158537
a1,a42,2.062970703881683
a1,a43,0.0
a1,a44,3.0205604699342317
a1,a45,0.0
a1,a46,3.8952653113251436
a1,a47,9.127387680911248
a1,a48,10.099520336735731
a1,a49,2.88302106151991
a1,a50,5.036072393564867
a1,a51,4.095894573716488
a1,a52,5.850554092001636
a1,a53,4.484638590580795
a1,a54,4.476362475918254
a1,a55,5.228540580696899
a1,a56,5.596965890713782
a1,a57,6.135287195193014
a1,a58,4.999181345051275
a1,a59,5.953677206583512
