O_id,D_id,flow
a0,a1,0
a0,a2,61
a0,a3,14
a0,a4,14
a0,a5,14
a0,a6,11
a0,a7,23
a0,a8,155
a0,a9,166
a0,a10,6
a0,a11,6
a0,a12,10
a0,a13,12
a0,a14,10
a0,a15,8
a0,a16,16
a0,a17,21
a0,a18,19
a0,a19,11
a0,a20,13
a0,a21,10
a0,a22,13
a0,a23,11
a0,a24,21
a0,a25,9
a0,a26,5
a0,a27,37
a0,a28,42
a0,a29,34
a0,a30,33
a0,a31,194
a0,a32,39
a0,a33,19
a0,a34,22
a0,a35,24
a0,a36,34
a0,a37,142
a0,a38,114
a0,a39,131
a0,a40,150
a0,a41,227
a0,a42,254
a0,a43,0
a0,a44,157
a0,a45,0
a0,a46,100
a0,a47,6
a0,a48,4
a0,a49,216
a0,a50,79
a0,a51,133
a0,a52,27
a0,a53,97
a0,a54,108
a0,a55,63
a0,a56,34
a0,a57,53
a0,a58,94
a0,a59,50
a0,a60,62
a0,a61,72
a0,a62,209
a0,a63,144
a0,a64,189
a0,a65,178
a0,a66,184
a0,a67,115
a0,a68,157
a0,a69,84
a0,a70,177
a0,a71,15
a0,a72,167
a0,a73,69
a0,a74,111
a0,a75,1
a0,a76,14
a0,a77,147
a0,a78,36
a0,a79,134
a0,a80,194
a0,a81,154
a0,a82,293
a0,a83,230
a0,a84,280
a0,a85,233
a0,a86,328
a0,a87,203
a0,a88,206
a0,a89,34
a0,a90,6
a0,a91,16
a0,a92,78
a0,a93,125
a0,a94,55
a0,a95,63
a0,a96,50
a0,a97,36
a0,a98,29
a0,a99,150
a0,a100,95
a0,a101,147
a0,a102,305
a0,a103,280
a0,a104,347
a0,a105,377
a0,a106,304
a0,a107,252
a0,a108,284
a0,a109,286
a0,a110,234
a0,a111,194
a0,a112,201
a0,a113,238
a0,a114,119
a0,a115,136
a0,a116,150
a0,a117,178
a0,a118,176
a0,a119,199
a0,a120,184
a0,a121,119
a0,a122,140
a0,a123,148
a0,a124,96
a0,a125,115
a0,a126,50
a0,a127,70
a0,a128,10
a0,a129,8
a0,a130,9
a0,a131,64
a0,a132,47
a0,a133,78
a0,a134,45
a0,a135,87
a0,a136,56
a0,a137,378
a0,a138,227
a0,a139,272
a0,a140,272
a0,a141,373
a0,a142,330
a0,a143,403
a0,a144,399
a0,a145,404
a0,a146,124
a0,a147,41
a0,a148,27
a0,a149,33
a0,a150,32
a0,a151,54
a0,a152,45
a0,a153,9
a0,a154,23
a0,a155,15
a0,a156,23
a0,a157,26
a0,a158,32
a0,a159,32
a0,a160,386
a0,a161,108
a0,a162,86
a0,a163,100
a0,a164,76
a0,a165,22
a0,a166,17
a0,a167,19
a0,a168,16
a0,a169,25
a0,a170,14
a0,a171,184
a0,a172,276
a0,a173,71
a0,a174,146
a0,a175,256
a0,a176,41
a0,a177,41
a0,a178,27
a0,a179,61
a0,a180,48
a0,a181,76
a0,a182,333
a0,a183,0
a0,a184,0
a0,a185,140
a0,a186,85
a0,a187,52
a0,a188,21
a0,a189,6
a0,a190,3
a0,a191,9
a0,a192,13
a0,a193,29
a0,a194,313
a1,a2,26
a1,a3,14
a1,a4,14
a1,a5,13
a1,a6,10
a1,a7,22
a1,a8,75
a1,a9,81
a1,a10,5
a1,a11,5
a1,a12,8
a1,a13,9
a1,a14,8
a1,a15,6
a1,a16,13
a1,a17,16
a1,a18,14
a1,a19,9
a1,a20,12
a1,a21,9
a1,a22,13
a1,a23,10
a1,a24,20
a1,a25,8
a1,a26,5
a1,a27,35
a1,a28,40
a1,a29,31
a1,a30,30
a1,a31,203
a1,a32,37
a1,a33,19
a1,a34,22
a1,a35,24
a1,a36,33
a1,a37,63
a1,a38,53
a1,a39,55
a1,a40,68
a1,a41,189
a1,a42,219
a1,a43,0
a1,a44,71
a1,a45,0
a1,a46,42
a1,a47,7
a1,a48,3
a1,a49,232
a1,a50,87
a1,a51,141
a1,a52,22
a1,a53,103
a1,a54,110
a1,a55,61
a1,a56,28
a1,a57,50
a1,a58,94
a1,a59,51
a1,a60,65
a1,a61,78
a1,a62,142
a1,a63,84
a1,a64,112
a1,a65,97
a1,a66,117
a1,a67,71
a1,a68,100
a1,a69,44
a1,a70,93
a1,a71,33
a1,a72,88
a1,a73,35
a1,a74,6
a1,a75,0
a1,a76,0
a1,a77,20
a1,a78,2
a1,a79,15
a1,a80,82
a1,a81,92
a1,a82,260
a1,a83,243
a1,a84,251
a1,a85,146
a1,a86,258
a1,a87,233
a1,a88,236
a1,a89,22
a1,a90,7
a1,a91,15
a1,a92,73
a1,a93,129
a1,a94,48
a1,a95,62
a1,a96,45
a1,a97,29
a1,a98,24
a1,a99,147
a1,a100,91
a1,a101,154
a1,a102,127
a1,a103,109
a1,a104,297
a1,a105,270
a1,a106,255
a1,a107,249
a1,a108,277
a1,a109,272
a1,a110,242
a1,a111,204
a1,a112,207
a1,a113,245
a1,a114,120
a1,a115,137
a1,a116,151
a1,a117,154
a1,a118,202
a1,a119,182
a1,a120,116
a1,a121,58
a1,a122,86
a1,a123,72
a1,a124,45
a1,a125,52
a1,a126,32
a1,a127,55
a1,a128,13
a1,a129,10
a1,a130,11
a1,a131,65
a1,a132,44
a1,a133,81
a1,a134,46
a1,a135,88
a1,a136,55
a1,a137,317
a1,a138,235
a1,a139,271
a1,a140,271
a1,a141,311
a1,a142,170
a1,a143,322
a1,a144,260
a1,a145,316
a1,a146,119
a1,a147,43
a1,a148,29
a1,a149,18
a1,a150,19
a1,a151,27
a1,a152,22
a1,a153,11
a1,a154,26
a1,a155,18
a1,a156,23
a1,a157,31
a1,a158,37
a1,a159,32
a1,a160,322
a1,a161,133
a1,a162,104
a1,a163,111
a1,a164,80
a1,a165,26
a1,a166,20
a1,a167,22
a1,a168,19
a1,a169,28
a1,a170,16
a1,a171,188
a1,a172,259
a1,a173,74
a1,a174,160
a1,a175,251
a1,a176,51
a1,a177,50
a1,a178,34
a1,a179,72
a1,a180,59
a1,a181,87
a1,a182,281
a1,a183,0
a1,a184,0
a1,a185,63
a1,a186,34
a1,a187,24
a1,a188,21
a1,a189,8
a1,a190,3
a1,a191,8
a1,a192,13
a1,a193,23
a1,a194,281
a2,a3,0
a2,a4,0
a2,a5,0
a2,a6,0
a2,a7,0
a2,a8,1983
a2,a9,2404
a2,a10,0
a2,a11,0
a2,a12,0
a2,a13,0
a2,a14,0
a2,a15,0
